id,type,text1,text2,text3,text4,text5,notes
bomb,WEAPON,"Das Bombenschacht ist ein bewährtes Waffensystem, das mehrere Sprengköpfe fasst, die sich auf die Geschwindigkeit des Abschussfahrzeugs verlassen, um ihr Ziel zu erreichen.

Jeder Bombenschacht ist mit mehreren ungelenkten hochexplosiven Comp-X-Bomben ausgestattet, die einzeln abgeworfen werden können. Die Bomben haben kein Antriebssystem und sind auf die Geschwindigkeit des Abschussfahrzeugs angewiesen, um ihr Ziel zu erreichen (d. h. Sturzflugbomben). Die dem Design inhärente atmosphärische Abschirmung verleiht den Bomben außerdem eine hohe Lebensdauer in einer feindlichen Punktabwehrumgebung.",,,,,
lightneedler,WEAPON,"Feuert kleine Flechettes mit hoher Feuerrate ab. Die Feuerkraft kann Schildprojektoren schnell überwältigen, ist jedoch im Allgemeinen gegen Panzerungen unwirksam. Ein Light Needler ist eine kleinkalibrige Flechette-Waffe, die für das Abfeuern von hülsenloser Munition ausgelegt ist. Verfügt über ein beeindruckendes Zuführungssystem, das Hunderte von „Nadeln” pro Sekunde abgeben kann. Ein Auswurfsystem ist nicht erforderlich, und der eingesparte Platz wird für zusätzliche Kühleinheiten genutzt, wodurch die Feuerrate erheblich verbessert wird. Domain Die Marine-Doktrin sieht vor, dass die Waffe aus großer Entfernung gegen feindliche Schilde eingesetzt wird, aber im Notfall richten die Artillerieoffiziere ihre Needler auf feindliche Jagdflügel und Langstreckenraketen.",,,,,
railgun,WEAPON,"Die Railgun ist eine Hightech-Weiterentwicklung der Autocannon und feuert präzise Geschosse auf mittlere Entfernungen ab. Wie die AC eignet sie sich hervorragend, um die Schildgeneratoren des Gegners zu überwältigen.

Als miniaturisierte Version der Gauss-Kanone nutzt die Railgun ein starkes Magnetfeld, um Geschosse mit hoher Geschwindigkeit abzufeuern. Die Genauigkeit und Reichweite sind ausgezeichnet, und der Turm kann sich schnell drehen, ohne zu feuern. Die Railgun wird von Artillerieoffizieren, die über ausreichende Flusskapazität verfügen, gegenüber der Autocannon bevorzugt.",,,,,
shredder,WEAPON,"Eine großzügig konstruierte Rotationskanone, die sich durch hohe Bedienungsfreundlichkeit und Zuverlässigkeit auszeichnet. Waffenoffiziere der professionellen Marinen der Persean Sector verfluchen den Thumper hingegen dafür, dass er schlechte Wartungsgewohnheiten belohnt. Zerstört feindliche Raketen und Kampfflugzeuge mit einer überwältigenden Salve kleiner Sprenggeschosse mittlerer Geschwindigkeit. Obwohl dieses Waffensystem flusseffizient ist, hat es nur geringe Wirkung gegen Panzerungen und Schilde.",,,,,
flak,WEAPON,"Ein Verteidigungswaffensystem, das mit Schrapnell gefüllte Granaten abfeuert, die mit einem Annäherungszünder ausgestattet sind, um maximale Wirkung gegen Kampfflugzeuge und Raketen zu erzielen.

Die zunehmende Bedeutung kleiner, kostengünstiger Kampfflugzeuge, insbesondere in der Angriffsrolle, führte in den aufregenden Tagen vor dem Zusammenbruch zu einem breiteren Einsatz dieses Waffensystems. Feuert ballistische Geschosse ab, die mit einem Annäherungszünder ausgestattet sind. Die daraus resultierende Explosion sendet eine Flut von Flechettes in einem großen Volumen mit einem beachtlichen Wirkungsradius gegenüber Standardzielen aus. Neuere Modelle verfügen über ein Feuerleitsystem, das fest in einen Mark VI Predictor eingebaut ist.",,,,,
heavymg,WEAPON,"Als größerer Verwandter der allgegenwärtigen Schnellfeuer-Maschinengewehre ist das schwere MG sowohl gegen kleine als auch gegen mittelgroße Ziele wirksam. Dieses Waffensystem, das in den Patrouillenbooten des gesamten Sektors zum Einsatz kommt, verfügt über einen zuverlässigen Rückstoßmechanismus, der angeblich noch aus den Tagen von Old Earth stammt. Zu den Sicherheitsmerkmalen gehören eine positive Cook-Off-Sicherung für das Reinigen des offenen Verschlusses und eine Doppelrammen-Sicherung. Die Waffe wird in der Regel auf einem relativ massiven Sockel montiert, um den Rückstoß bei längeren Feuerstößen zu absorbieren. Die Kaliber variieren innerhalb eines moderaten Bereichs und die Munition kann leicht in Standardschmieden hergestellt werden. Die schwereren Projektile zersplittern beim Aufprall nicht wie leichtere Munition und stellen eine ernstzunehmende Bedrohung für Schiffe der Fregattenklasse dar. Extrem präzise, wenn auch langsamer als eine Vulcan-Kanone. Hervorragend geeignet für die Punktabwehr.",,,,,
arbalest,WEAPON,"Ein veraltetes Waffendesign mit hoher Schusskraft für seine Größe. Die kinetischen Geschosse sind besonders wirksam gegen feindliche Schilde. Schwerere Patrouillenboote waren zum Zeitpunkt des Zusammenbruchs meist mit der Waffenplattform Arbalest Mk I ausgestattet; dies erklärt wahrscheinlich, warum die Arbalest als eines der am häufigsten geplünderten Schiffswaffensysteme im Sektor gilt. Das primitive Kühlsystem und das Fehlen eines Autoejektors beeinträchtigen die Feuerrate und Zuverlässigkeit. Der einzige Vorteil ist die Allgegenwärtigkeit von Bauplänen für die Arbalest-Geschosse, die feindliche Schilde wirksam zerstören können. Die Wirksamkeit der Geschosse ist kaum erforscht, vermutlich liegt sie in den unbeabsichtigten elektromagnetischen Eigenschaften der Geschosshüllen.",,,,,
dualflak,WEAPON,"Eine verbesserte, äußerst effektive Doppelhalterung der Flak-Kanone. Aufgrund ihrer Fähigkeit, anfliegende Kampfflugzeuge zu zerstören, trägt sie den Spitznamen „The Widowmaker“ (dt. „Die Witwenmacherin“).

Genau wie die Standard-Flakkanone vernichtet diese Waffe kleinere Kampfflugzeuge und Raketen, feuert jedoch zwei mit Annäherungszündern ausgestattete Geschosse ab. Die gezielte Streuung sorgt für eine doppelte Detonation und einen größeren Wirkungsradius. Aus offensichtlichen Gründen werden Kampfflugzeuge selten absichtlich gegen Schiffe eingesetzt, die mit der Dual-Flak ausgerüstet sind. Hervorragende Feuerrate und Turmdrehgeschwindigkeit.",,,,,
chaingun,WEAPON,"Die GA-X Industries Mk. II-Maschinenkanone eignet sich hervorragend für den Nahkampf, wo Genauigkeit weniger wichtig ist als die Gesamtzerstörungskraft und das Feuervolumen. Als Lieblingswerkzeug eines „Nahkampf“-Kapitäns feuert die Assault Chaingun hochexplosive Hohlladungsgeschosse mit furchterregender Geschwindigkeit auf das Ziel ab. Sie verfügt über ein motorisiertes Zuführungs- und Auswurfsystem sowie eine fortschrittliche Nano-Kühleinheit, die direkt in den Lauf integriert ist. 

Der einzige Nachteil ist das schwerere Turmprofil, das in Verbindung mit dem Fehlen der dazugehörigen Reglerbaupläne in der Regel auf inkompatiblen Rotatoren montiert wird, was zu unerwartet niedrigen Turmrotationsgeschwindigkeiten führt.",,,,,
heavymauler,WEAPON,"Ein fortschrittliches Waffensystem, das entwickelt wurde, um Panzerungen aus großer Entfernung zu durchschlagen. Es hat eine geringe Feuerrate, verursacht jedoch pro Salve hohen Schaden. Der Heavy Mauler ist eine brutale Waffe, die für den Einsatz gegen Ziele auf mittlere bis große Entfernungen entwickelt wurde. Im Kern handelt es sich um eine Autokanone mit einem Nano-Kühlsystem und einer externen Auswurföffnung. Im Gegensatz zu normalen Autokanonen zeichnet sich der Heavy Mauler jedoch durch einen Antimaterie-Lauf aus, der mit geringen Mengen an Standard-Raumschiff-Treibstoff gespeist wird. Beim Verlassen der Brennkammer wird jede Granate mit einem Feld aus Antiprotonen aufgeladen, die 10 bis 20 Nanometer vor der Granate schweben und durch eine Baryonbeschichtung stabilisiert werden. Beim Aufprall auf ein Ziel verliert diese Antiprotonenhülle ihre strukturelle Integrität, und die daraus resultierende Reaktion verursacht weiteren Schaden. Angesichts der Tatsache, dass die Geschosse bereits eine beeindruckende Zerstörungskraft auf das Ziel ausüben, macht die kombinierte Reaktion den Heavy Mauler besonders effektiv gegen gepanzerte Ziele.",,,,,
heavyac,WEAPON,"Eine dreiläufige Kanone, die eine Salve standardisierter Granaten auf mittlere Entfernung abfeuert. Sie ist besonders wirksam gegen feindliche Schilde.

Mittleres Kaliber, dreiläufige Autokanone, die in der Regel mit Munition mittleren Kalibers eingesetzt wird. Elektrisch gezündete Zünder sorgen für eine präzise Feuerzahl. Als hervorragende Feuerunterstützungswaffe wird sie in der Regel auf Schiffen der Zerstörer- und Kreuzerklasse eingesetzt. Eine Batterie schwerer Autokanonen mit einer geeigneten Feuerlösung kann eine ernsthafte Bedrohung für Großkampfschiffe darstellen. Die zusätzliche Masse, die für die komplexen Autolader- und Kühlsysteme erforderlich ist, führt jedoch zu einer sehr schlechten Wendigkeit.",,,,,
hveldriver,WEAPON,"Eine Spezialwaffe, die dazu dient, feindliche Systeme aus der Ferne zu überlasten und außer Gefecht zu setzen. Die Hochgeschwindigkeits-Duraniumsalve ist auch gegen Schilde wirksam.

Der Hypergeschwindigkeitsantrieb beschleunigt eine Duranium-Kugel mit einem magnetisierten Eisen-Kobalt-Kern in einem zweistufigen Prozess auf eine sehr hohe Geschwindigkeit. Zunächst beschleunigt eine chemische Ladung die Kugel, dann übernehmen die Magnetspulen, die die Kugel weiter beschleunigen und ihren Flug stabilisieren. Wenn die Kugel ihr Ziel erreicht, ist sie hoch aufgeladen und erzeugt erhebliche elektromagnetische Störungen auf dem Schiff, auf das sie trifft.",,,,,
heavyneedler,WEAPON,"Dieses fortschrittliche Waffensystem ist eine Doppelhalterung des Light Needler mit einer schwereren Basis und kann Schildprojektoren schnell überwältigen. Der Heavy Needler ist eine fortschrittliche Waffe, die kleine Flechette-Geschosse abfeuert. Als Verbesserung gegenüber dem Light Needler verfügt er über bessere Zuführungs- und Kühlsysteme, die eine noch höhere Feuerrate ermöglichen. Die Projektile sind identisch mit denen der Light-Version: hülsenlose Munition mit wolframummantelten Flechettes.",,,,,
gauss,WEAPON,"Eine Langstreckenwaffe, die entwickelt wurde, um die Schilde des Ziels zu überlasten. Der schwere kinetische Geschoss, den sie abfeuert, ist auch gegen alle außer den schwersten Panzerungen wirksam. Verwendet Magnetspulen, um einen großen, ultradichten Verbundgeschoss auf relativistische Geschwindigkeiten zu beschleunigen. In der Regel im Bereich von Hunderten von Gigaampere, selten über einem Teraampere. Und im Gegensatz zu den meisten ballistischen Waffen hat sie beim Abfeuern eine sehr hohe Flussbelastung. Mit diesem System ausgestattete Geschütztürme haben eine extrem schlechte Drehgeschwindigkeit. Sehr effektive Waffe, deren Nützlichkeit durch die geringe Reaktorleistung von Schiffen begrenzt ist, die in der Regel mit großen ballistischen Waffen ausgestattet sind. ",,,,,
hephag,WEAPON,"Ein großes ballistisches Geschützsystem mit guter Reichweite, dessen hochexplosive Hohlladungsgeschosse dafür ausgelegt sind, schwere Panzerungen zu durchschlagen. Die rohe Schadensleistung kann auch dazu dienen, schwächere Schildemitter zu überwältigen.

Die Hephaestus-Sturmkanone ist eine wahrhaft verheerende Waffenplattform, benannt nach einer Old Earth-Gottheit, die mit einem entfernten Vorläufer der Nanoforge in Verbindung gebracht wird. Ein typisches Chassis verfügt über zwei L/89-Läufe, die panzerbrechende Geschosse mit hoher Feuerrate abfeuern. Ein elektromagnetischer Auswerfer, ein angetriebenes Zuführsystem und Nanokühlmittel ermöglichen es der Waffe, über längere Zeiträume hinweg zu feuern, wobei nur der Flusspool eine Begrenzung darstellt.

Unter den Offizieren der Hegemony gibt es die Tradition, das Stampfen des Hephaestus-Rückstoßes als „Herzschlag der Hegemony-Marine” zu bezeichnen, worauf die Besatzung mit einem herzlichen „Ooh-rah!” antwortet. In den Bars auf der Backbordseite werden mehrere Trinkspiele mit ähnlichem Thema, wenn auch etwas derber ausgedrückt, gespielt, sehr zum Ärger der Besitzer, da dabei gestampft wird und unvermeidlich Trinkgefäße zu Bruch gehen.",,,,,
mark9,WEAPON,"Die Mark IX ist eine imposante Mittelstrecken-Autokanone, die am effektivsten gegen Schilde eingesetzt wird, aber auch hervorragend dazu geeignet ist, ungeschützte Rümpfe zu zerstören. Dank ihres zweiläufigen Designs und ihres einzigartigen Doppelladesystems kann sie eine große Menge an Projektilen schweren Kalibers abfeuern.

Die Blaupausen der Mark IX wurden erstmals von der Persean Sector in einem treibenden Wrack entdeckt, das im Gravitationsfeld des Penelope-Sterns gefangen war. Nach einer hastigen Prüfung der Akten durch einen unqualifizierten Gutachter – historische Berichte stuften den Mark IX aufgrund seiner schlechten Leistung gegen die in dieser Zeit bevorzugten schwer gepanzerten Kriegsschiffe als veraltet ein – wurde der Bauplan versteigert und von einer kleinen Söldnerorganisation namens Tactistar gekauft, einem Militärdienstleister, der damals eine Tochtergesellschaft der Ko Combine war, und geriet in Vergessenheit. Nach einigen Zyklen wurde schließlich genügend überschüssiges Kapital gefunden, um einen Prototyp für Waffentests zu bauen. Der Mark IX war im Allgemeinen unauffällig, galt als überdimensioniert und mittelmäßig gegen gepanzerte Ziele. Nichtsdestotrotz war die reine Schadensleistung beeindruckend, und sekundäre Tests zeigten eine verheerende Wirkung bei der Verwendung gegen abgeschirmte Ziele. Danach blieb der Mark IX nicht lange geheim. Tactistar Combine verkaufte die Herstellungsrechte gewinnbringend im gesamten Persean Sector und kaufte sich bald aus seiner immer schwerfälliger werdenden Muttergesellschaft zurück.",,,,,
mjolnir,WEAPON,"Ein hochentwickeltes Mittelstrecken-Waffensystem, das neben einer erheblichen EMP-Sprengkraft auch überragende Zerstörungskraft bietet.

Das Mjolnir ist technisch gesehen eher ein magneto-gravitischer Projektor als eine Kanone im herkömmlichen Sinne. Jede Munition enthält eine kleine Menge exotischer kondensierter Materie und eine isolierte Mikrosingularität, die sich beim Aufprall zerstörerisch verbinden und die Energie durch eine temporäre Gravitationslinse leiten. Der lokale Effekt führt zur Zerstörung gewöhnlicher Materie und zur Freisetzung eines starken elektromagnetischen Impulses (EMP), der Waffen und Systeme innerhalb des Zielschiffs außer Gefecht setzt.",,,,,
multineedler,WEAPON,"Feuert einen vernichtenden Hagel kinetischer Projektile ab, der die meisten Schildprojektoren mühelos überwältigt. Der Storm Needler ist ein großes ballistisches Waffensystem, das hülsenlose Kleinkaliber-Flechette-Munition abfeuert. Nachdem die praktischen Grenzen mittelgroßer Kühlsysteme erreicht waren, ebneten die Entwickler hülsenloser Munition den Weg für größere Waffen mit den fortschrittlichen Nano-Kühlmittelrecyclern, magnetisierten Laufsätzen und automatisiertem Betrieb des Storm Needler. Ein intelligenter Autoloader entpackt und lädt genau die richtige Menge Munition aus den Magazinen, was einen längeren Betrieb ermöglicht, vorausgesetzt, das Mutterschiff verfügt über eine ausreichende Flusskapazität.",,,,,
hellbore,WEAPON,"Eine riesige Kanone, die langsam fliegende, mit Plasma geladene Projektile abfeuert. Die Geschosse sind äußerst wirksam gegen Panzerungen und zerstören jegliche darunter liegende Rumpfstruktur.

Eine gefürchtete Waffenplattform, die aufgrund der Komplexität der Herstellung eines aufgebaute Laufs, der enorme hochexplosive Hohlladungsgeschosse sicher abfeuern kann, nur selten eingesetzt wird. Wenn eine solche Granate auf ein Ziel trifft, bewirkt der Neumann-Effekt, dass der Sprengkopf einen Strahl geschmolzenen Metalls in die Panzerung des Ziels schleudert, wodurch ein kleiner Bereich verdampft, Rumpfbruchstellen, Druckabfall und umfangreiche innere Schäden durch Splitter entstehen.",,,,,
reaper,WEAPON,"Ein einzelner ungelenkter Torpedo mit verheerender Sprengkraft und einem leistungsstarken Bordmotor. Als Inbegriff einer Angriffswaffe ist ein einzelner Reaper-Torpedo ein großes, selbstfahrendes, gepanzertes, ungelenktes Trägersystem für einen angereicherten AM-katalysierten Atomsprengkopf. Die Wissenschaft hinter dem überraschend kompakten Zünder ist in diesem Sektor kaum bekannt, obwohl weithin spekuliert wird, dass sie auf Physik basiert, die von der Behörde Domain als geheim eingestuft wurde. Bekannt ist, dass drei oder vier dieser Torpedos, die durch PD-Bögen schlüpfen, ausreichen, um selbst das größte Großkampfschiff zu zerstören.",,,,,
atropos,WEAPON,"Ein Gestell mit hochmodernen Lenk-Torpedos. Die Nutzlast ist kleiner als üblich, um Platz für das hochmoderne Lenkungspaket und die Reaktionsmasse des Manövriersystems zu schaffen.

Der Atropos-Torpedo ist ein großer Lenk-Torpedo mit erweiterter Reichweite. Jedes Gestell fasst zwei Torpedos, die separat abgefeuert werden können, was den Kommandanten maximale Flexibilität bietet. Der in Torpedosprengköpfen üblicherweise verwendete AM-katalysierte Atomsprengkopf fehlt hier, da die baryonische Interferenz des Zünders das Leitsystem stören würde. Er wird durch eine kleinere, aber dennoch potente chemische Ladung ersetzt.",,,,,
atropos_single,WEAPON,"Ein einzelner fortschrittlicher, gelenkter Torpedo. Die Sprengladung ist kleiner als üblich, um Platz für das fortschrittliche Lenkungssystem und die Reaktionsmasse des Manövriersystems zu schaffen.

Der Atropos-Torpedo ist ein großer Lenk-Torpedo mit erweiterter Reichweite. Der in Torpedosprengköpfen üblicherweise verwendete AM-katalysierte Atomsprengkopf fehlt hier, da die baryonische Interferenz des Zünders die Leitsysteme stören würde. Er wird durch eine kleinere, aber dennoch potente chemische Ladung ersetzt. Diese Halterung verfügt nur über einen einzigen Torpedo.",,,,,
swarmer,WEAPON,"Ein Kurzstrecken-Lenkwaffenwerfer. Die Raketen sind für die Abfangung wendiger Ziele ausgelegt und vor allem gegen kleine Schiffe wie Fregatten und Kampfflugzeuge wirksam. Sie feuern Salven kleiner Raketen ab. Ein einfaches Infrarotsystem sorgt für eine effektive Verfolgung, während chemische Mikrotriebwerke eine außergewöhnliche Manövrierfähigkeit gewährleisten. Dank evolutionärer Zielalgorithmen, die über Jahrhunderte hinweg in der Praxis verfeinert wurden, können die Raketen dem Ziel vorausfliegen – sie verfehlen ihr Ziel nur selten und sind sehr schwer auszuweichen.",,,,,
swarmer_fighter,WEAPON,"Ein Kurzstrecken-Lenkwaffenwerfer. Die Raketen sind dafür ausgelegt, feindliche Kampfflugzeuge abzufangen und zu zerstören.",,,,,
annihilator,WEAPON,"Feuert eine Salve ungelenkter Raketen ab, die einen weiten Bogen abdecken. Wird in der Regel eingesetzt, um die Panzerung des Gegners zu zerstören, sobald dessen Schilde ausgefallen sind. Mittel- bis Langstreckenraketen, die aus einem kleinen Pod abgefeuert werden und fünf Raketen pro Salve in einem engen Bogen abfeuern, um die Trefferwahrscheinlichkeit zu erhöhen. Die Raketen sind klein und ungelenkt, der zusätzliche Platz wird durch einen größeren Sprengkopf und verbesserte Antriebssysteme sowie eine dickere Panzerung eingenommen. 

Wirkt gut gegen größere Ziele, da die Trefferwahrscheinlichkeit mit mehreren Raketen höher ist. Ein Raketenangriff wird oft als Schutzschild vor einem Torpedoangriff eingesetzt, um die Wirksamkeit von Punktabwehrsystemen zu verringern. Nach einer Salve dauert das Nachladen mehrere Sekunden.",,,,,
annihilator_fighter,WEAPON,"Feuert eine Salve ungelenkter Raketen ab. Wird in der Regel eingesetzt, um die Panzerung des Gegners zu zerstören, sobald dessen Schilde ausgefallen sind.",,,,,
annihilatorpod,WEAPON,"Feuert einen Strom ungelenkter Raketen ab. Nützlich für den Kampf gegen feindliche Panzer oder – da keine Flusskosten anfallen – für den Aufbau anhaltenden Drucks.

Verfügt über die gleichen Mittel- bis Langstreckenraketen wie kleinere Werfer. Die Raketen sind ungelenkt, wobei der zusätzliche Platz durch einen größeren Sprengkopf und verbesserte Antriebssysteme sowie eine dickere Panzerung genutzt wird. Zeigt aufgrund der höheren Trefferwahrscheinlichkeit mit mehreren Raketen eine gute Leistung gegen größere Ziele. Ein Raketenangriff wird oft als Schutzschild vor einem Torpedoangriff eingesetzt, um die Wirksamkeit von Punktabwehrsystemen zu verringern. ",,,,,
heatseeker,WEAPON,"Es peilt die Triebwerke des Ziels an und setzt sie mit einem starken EMP-Impuls außer Gefecht. Ein für den Kampfeinsatz ausgelegtes Autoloader-System gewährleistet die Einsatzfähigkeit auch bei langwierigen Gefechten. Die Salamander-Rakete ist eine Spezialwaffe, bei deren Konstruktion zwei Aspekte berücksichtigt wurden. Der erste ist ein hochmoderner Verfolgungs-/Zielmechanismus, der es ihr ermöglicht, feindliche Triebwerke anzusteuern und dabei alle anderen potenziellen Trefferpunkte und Punktabwehrbedrohungen zu vermeiden. 

Der zweite ist ein spezielles Sprengkopfdesign, das nicht versucht, das Ziel mit kinetischer oder explosiver Kraft zu zerstören, sondern gezielte elektromagnetische Felder hoher Stärke erzeugt. Wenn ein solches Feld in der Nähe von ungeschützten Triebwerken und Rumpfkomponenten erzeugt wird, werden alle elektronischen Systeme schnell außer Gefecht gesetzt und sind bis zur Reparatur unbrauchbar.",,,,,
