name,id,tags,planetary,decivRemove,script,desc,icon,order
Decivilized,decivilized,,,,com.fs.starfarer.api.impl.campaign.econ.Decivilized,"Hier gibt es kein stabiles Herrschaftssystem. Die Zivilisation ist zusammengebrochen und die derzeitige Bevölkerung ist praktisch unbekannt, obwohl Gruppen von Überlebenden, Banditen und Plünderern entdeckt werden können.",graphics/icons/markets/decivilized.png,130
Dezivilisierte Teilbevölkerung,decivilized_subpop,,,,com.fs.starfarer.api.impl.campaign.econ.DecivilizedSubpop,"In Teilen von $market wurde die Zivilisation wiederhergestellt, oft mit Hilfe eines Gauss-Gewehrs. Allerdings gibt es immer noch eine unbekannte Anzahl von Überlebenden, Banditen und Plünderern in den Randgebieten.",graphics/icons/markets/decivilized.png,130
Stillgelegter Bahnhof,abandoned_station,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AbandonedStation,Dieser Bahnhof ist aufgegeben.,graphics/icons/markets/abandoned.png,130
Heimwerkerindustrie,cottage_industry,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CottageIndustry,"$Market verfügt über eine beträchtliche Basis an arbeitsintensiver Leichtindustrie mit niedrigem Technologieniveau. Sie erhöht die Nachfrage nach einfachen organischen Brennstoffen und Materialien und bietet eine ineffiziente, wenn auch charmante handwerkliche Versorgung mit Haushaltswaren.",graphics/icons/markets/cottage_industry.png,230
Outpost,outpost,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Outpost,"$Market wird ähnlich wie eine Garnison oder ein großes Raumschiff geführt, mit einer festen offiziellen Kommandostruktur. Dies verbessert die Stabilität, erfordert aber auch einige Mitarbeiter, die sich um die interne Sicherheit kümmern.",graphics/icons/markets/outpost.png,130
Luddische Mehrheit,luddic_majority,"show_in_codex, codex_unlockable",,TRUE,com.fs.starfarer.api.impl.campaign.econ.LuddicMajority,,graphics/icons/markets/luddic_majority.png,142
Getarnte Minenfelder,stealth_minefields,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.StealthMinefields,Ein Netz von versteckten Minen bietet $market Sicherheit vor neugierigen Außenstehenden. Verbessert die Stabilität.,graphics/icons/markets/stealth_mines.png,510
Regionale Hauptstadt,regional_capital,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RegionalCapital,"Ein wichtiges Zentrum für Verwaltung, Sicherheit und Logistik. Verbessert die Stabilität.",graphics/icons/markets/capital.png,500
Freier Hafen,free_market,show_in_codex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FreeMarket,"Die örtliche Hafenbehörde erlässt fast keine Vorschriften für den Warenverkehr. Die Einwanderungskontrollen sind ebenfalls gelockert, was zu einem verstärkten Zustrom von Menschen führt, wenn auch manchmal mit fragwürdigem Charakter. Dies kann dazu führen, dass andere Fraktionen diese Kolonie mit Misstrauen betrachten.",graphics/icons/markets/free_port.png,141
Geschlossene Immigration,closed_immigration,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ClosedImmigration,Offiziell ist die Einwanderung nach $market nicht erlaubt. In der Praxis führt dies zu einer erheblichen Verlangsamung der Gesamteinwanderung und schafft Raum für bestimmte Arten von Kriminellen.,graphics/icons/markets/vice_demand.png,142
,,,,,,,,
Unbewohnbare Welt,uninhabitable,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"Die Oberfläche von $market ist ein unfruchtbarer Planet, auf dem kein organisches Leben, wie wir es kennen, gedeihen kann, und Landwirtschaft ist außerhalb von versiegelten künstlichen Ökosystemen unmöglich.",graphics/icons/markets/uninhabitable_wide.png,10
Eiswelt,ice,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldIce,"Die Durchschnittstemperatur von $Market liegt weit unter dem Gefrierpunkt von Wasser, und einige übliche terranische atmosphärische Gase fallen als Schnee. Die Verwehungen und Gletscher aus leichten, flüchtigen Elementen können geerntet werden.",graphics/icons/markets/ice_world_wide.png,10
Welt der Wüste,desert,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldDesert,"$Market: Wüstenplanet. Eine xerophile Biosphäre hält eine Atmosphäre aufrecht, die nur mit einer Lichtmaske geatmet werden kann. Ackerbau ist fast unmöglich.",graphics/icons/markets/desert_world_wide.png,10
Trockene Welt,arid,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldArid,"$Market ist von weiten, trockenen Ebenen und Ödland bedeckt. Wasser ist selten, und Landwirtschaft im großen Stil ist schwierig.",graphics/icons/markets/arid_world_wide.png,10
Wasserwelt,water,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldWater,"Das Klima in $market ist günstig, aber die Landwirtschaft beschränkt sich weitgehend auf Aquakultur, und für die Entwicklung von Lebensräumen und Industrie ist eine hochspezialisierte Infrastruktur erforderlich.",graphics/icons/markets/water_world_wide.png,10
Dschungelwelt,jungle,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldJungle,"$Market ist eine feuchte, warme Dschungelwelt, die mit üppiger Vegetation und exotischen Lebensformen bedeckt ist, was die Landwirtschaft und die Aufrechterhaltung einer dauerhaften Infrastruktur erschwert.",graphics/icons/markets/jungle_world_wide.png,10
Terranische Welt,terran,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTerran,"$Market kommt dem Zustand der alten Erde so nahe, wie es in diesem Sektor möglich ist, und bietet ideale Bedingungen für Landwirtschaft und Besiedlung.",graphics/icons/markets/terran_world_wide.png,10
Welt der unfruchtbaren Ränder,barren_marginal,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldBarrenMarginal,"Die unwirtlichen und unbarmherzigen Außenbedingungen auf $market sind für einen Menschen mit Atemmaske und Schutzausrüstung kaum überlebensfähig, obwohl bestimmte technisierte Terraforming-Flechten sie als ausreichend erträglich empfinden.",graphics/icons/markets/barren_desert_wide.png,10
Welt der Dämmerung,twilight,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTwilight,"$market ist eine terraformierte Welt, deren Tage so lang sind wie die Jahreszeiten, und die mit ihrem Primärsystem verbunden ist. Dementsprechend hart sind die Tag-Nacht-Temperaturschwankungen selbst für technisiertes terranisches Leben. Inseln mit ""zivilisierten"", milden Biomen werden durch den umsichtigen Einsatz von Sonnenschirmen und Spiegeln erhalten.",graphics/icons/markets/twilight_terran_world.png,10
Tundra-Welt,tundra,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldTundra,"Das Terraforming hat terranisches Leben auf $market gebracht, aber die Welt bleibt so kalt wie die tiefste Eiszeit der Erde. Obwohl Millionen von Quadratkilometern mit Gletschern bedeckt sind, gibt es auch Taigaprovinzen und weite Steppen, in denen wärmere Bedingungen herrschen.",graphics/icons/markets/tundra_terran_wide.png,10
Kryovulkanische Welt,cryovolcanic,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.WorldUninhabitable,"Eine Welt, die jenseits der tiefsten Kälte gefroren ist, auf der Methanschnee auf Berge von Wassereis fällt und Vulkane mit Ammoniak ausbrechen. Stellare Strahlung zersetzt die flüchtigen Stoffe und bildet eine Atmosphäre aus leichten Gasen wie Stickstoff und Sauerstoff, während Wasserstoff in den Weltraum geschleudert wird.",graphics/icons/markets/cryo_world_wide.png,10
,,,,,,,,
Dissidentenbevölkerung,dissident,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Dissident,"$Market ist eine Müllhalde für Dissidenten, Rebellen, Freidenker, Künstler und andere Unruhestifter. Erhöht die Nachfrage nach Waffen und Marinesoldaten zur Überwachung des Pöbels. Erhöht die Verfügbarkeit von Besatzungsmitgliedern aufgrund von Auswanderung.",graphics/icons/markets/dissidents.png,139
Headquarters,headquarters,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Headquarters,"$Market ist ein militärisches Befehls- und Logistikzentrum für das herrschende Gemeinwesen. Erhöht die Marktstabilität.

Erhöht die Qualität und Anzahl der Offiziere in den Flotten von $market",graphics/icons/markets/headquarters.png,360
Hydroponik-Komplex,hydroponics_complex,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Hydroponics,"Versiegelte landwirtschaftliche Produktionsanlagen in der Biosphäre, die den Anbau in der Umlaufbahn oder auf der Oberfläche unwirtlicher Welten ermöglichen. Erfordert eine Besatzung für den Betrieb, ein organisches Wachstumsmedium und schwere Maschinen für den Unterhalt.",graphics/icons/markets/hydroponics.png,120
,,,,,,,,
Population,population_1,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Nur ein paar Dutzend Menschen leben hier dauerhaft.,graphics/icons/markets/population01.png,20
Population,population_2,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Wenige hundert Menschen bevölkern $marketName.,graphics/icons/markets/population02.png,20
Population,population_3,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Tausende von Menschen nennen $marketName ihr Zuhause.,graphics/icons/markets/population03.png,20
Population,population_4,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Zehntausende von Menschen leben auf $marketName.,graphics/icons/markets/population04.png,20
Population,population_5,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$MarketName ist die Heimat von Hunderttausenden von Menschen.,graphics/icons/markets/population05.png,20
Population,population_6,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Die Bevölkerung von $marketName geht in die Millionen.,graphics/icons/markets/population06.png,20
Population,population_7,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$MarketName ist eine Welt mit zig Millionen Menschen.,graphics/icons/markets/population07.png,20
Population,population_8,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,$MarketName ist eine der wenigen Welten des Sektors mit einer Bevölkerung von mehreren hundert Millionen Menschen.,graphics/icons/markets/population08.png,20
Population,population_9,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,Als wertvoller Zufluchtsort für die Menschheit in einer gefährlichen Galaxie ist $marketName die Heimat von Milliarden von Seelen.,graphics/icons/markets/population09.png,20
Population,population_10,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Population,"$MarketName ist ein dominierendes Bevölkerungszentrum im Sektor, das mit der Alten Erde konkurriert, da es die Heimat von mehreren Milliarden Menschen ist.",graphics/icons/markets/population10.png,20
,,,,,,,,
,,,,,,,,
,,,,,,,,
# Ereignisbezogene Marktbedingungen,,,,,,,,
Nahrungsmittelknappheit,event_food_shortage,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.FoodShortage,"Vorübergehender Mangel an verfügbaren Lebensmitteln auf $market.
- Stabilität um $stabilityPenalty reduziert
- Ungefähr $neededFood Einheiten an Nahrungsmitteln werden benötigt, um den Mangel zu beenden
- Erhöhte Lebensmittelpreise aufgrund des verringerten Lebensmittelangebots
- Erhöhtes Ansehen und Erfahrung durch den Verkauf von Nahrungsmitteln",graphics/icons/markets/food_shortage.png,1000
Jüngste Unruhen,recent_unrest,show_in_codex,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RecentUnrest,"$Market hat in letzter Zeit stürmische Ereignisse erlebt, die sich auf die Stabilität ausgewirkt haben.",graphics/icons/markets/recent_unrest.png,2000
Unterbrechung des Handels,event_trade_disruption,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.TradeDisruption,"Handelsflotten, die von oder nach $market fahren, erleiden erhebliche Verluste. Schuld daran sind höchstwahrscheinlich Piraterie oder Krieg.

Die folgenden Waren sind betroffen:
$commoditySummary",graphics/icons/markets/trade_disruption.png,1100
Smuggling,event_smuggling,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Smuggling,"$market hat ein hohes Maß an Schmuggelaktivitäten zu verzeichnen.

- Durch $smugglingPenalty verringerte Stabilität",graphics/icons/markets/smuggling.png,1000
System-Prämie,event_bounty,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.SystemBounty,,graphics/icons/markets/bounty.png,1000
Abtrünniger KI-Kern,rogue_ai_core,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.RogueAICore,"Es gibt einen abtrünnigen KI-Kern, der auf oder in der Nähe von $market. operiert. Seine langfristigen Pläne und Ambitionen, die über sein eigenes Überleben hinausgehen, sind unbekannt.

Zumindest erschwert die Notwendigkeit, vor seinen möglichen Aktionen auf der Hut zu sein, den täglichen Betrieb und schafft einen fruchtbaren Boden für alarmierende Gerüchte.",graphics/icons/markets/rogue_ai.png,1200
AI Core Admin (versteckt),ai_core_admin,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.AICoreAdmin,"Versteckte Bedingung, um zu verfolgen, wann der Kern nicht mehr entfernt werden kann. Benötigt kein Symbol.",graphics/icons/markets/rogue_ai.png,1000
Piraten-Aktivität,pirate_activity,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.PirateActivity,"Es gibt Anzeichen dafür, dass Piraten die Schifffahrt und die Kolonien in diesem System ins Visier nehmen - von Hafeninspektoren, die unter Druck gesetzt werden, ein Auge zuzudrücken, über Ungereimtheiten in Frachtmanifesten bis hin zu anderen verstärkten kriminellen Aktivitäten.

Die Piraten haben höchstwahrscheinlich irgendwo in der Nähe einen Stützpunkt.",graphics/icons/markets/pirate_activity.png,1300
Feindliche Aktivitäten,hostile_activity,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.events.HostileActivity,,graphics/icons/markets/pirate_activity.png,1350
Pause für Piraten,piracy_respite,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.PiracyRespite,"Diese Kolonie erlebt eine Atempause von den Plünderungen der Piraterie, die sonst in diesem Sektor so häufig vorkommen.",graphics/icons/markets/respite40.png,1375
Etabliertes Gemeinwesen,established_polity,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.EstablishedPolity,,graphics/icons/markets/established_polity.png,1380
Blockaded,blockaded,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.Blockaded,"Das System, in dem sich diese Kolonie befindet, ist von einer Blockade betroffen, und die reguläre Handelsschifffahrt leidet unter Schikanen oder Schlimmerem. Die Auswirkungen werden so lange anhalten, bis die Blockademacht abzieht oder vernichtend geschlagen wird.",graphics/icons/markets/blockade.png,1385
Luddic Path-Zellen,pather_cells,,,TRUE,com.fs.starfarer.api.impl.campaign.intel.bases.LuddicPathCells,,graphics/icons/markets/pather_cells.png,1400
,,,,,,,,
# Stand-alone-Bedingungen,,,,,,,,
Unterbrechung des Handels,shipping_disruption,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.ShippingDisruption,,graphics/icons/markets/trade_disruption.png,1000
,,,,,,,,
# misc,,,,,,,,
Kommunikationsrelais (versteckt),comm_relay,,,TRUE,com.fs.starfarer.api.impl.campaign.econ.CommRelayCondition,Verborgene Bedingung; braucht kein Symbol.,,
,,,,,,,,
,,,,,,,,
# procgen Bedingungen,,,,,,,,
Habitable,habitable,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.Habitable,Menschen können ungeschützt an der Oberfläche von $market. überleben.,graphics/icons/markets/habitable.png,21
,,,,,,,,
,,,,,,,,
Verstreute Ruinen,ruins_scattered,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Diese Welt wurde von dem großen Projekt der Domain vor dem Zusammenbruch nur leicht berührt. Es gibt nur noch verstreute, zerbrochene Kuppeln, in denen vielleicht wertvolle Materialien gelagert sind.",graphics/icons/markets/ruins_scattered.png,100
Weite Ruinen,ruins_widespread,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"In ganz $market finden sich weit verbreitete Ruinen, Strahlungsflecken und das charakteristische Radar-Ping von geschäumten Keramikstrukturen, die auf eine kleine, aber konzertierte Besiedlungsaktion in der späten Expansionsphase von Domain hinweisen.",graphics/icons/markets/ruins_widespread.png,100
Ausgedehnte Ruinen,ruins_extensive,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Überall auf der Oberfläche von $market finden sich zerstörte Städte, die von ihren mit gebrochenen Herzen versehenen Straßen und bröckelnden Magnetschwebebahnen bis hin zu den Skeletten von Fabriken, Aquaponik-Kuppeln und Kommunikationstürmen reichen.",graphics/icons/markets/ruins_extensive.png,100
Weite Ruinen,ruins_vast,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"$Market ist mit riesigen Ruinen bedeckt: Städte, Fabriken, Minen, Bauernhöfe, Häuser. Tote gibt es in Hülle und Fülle, verwoben mit verwertbaren Materialien, Waren, Werkzeugen und Waffen. Diese Welt ist ein Grab für die Hybris des Domain-Projekts der galaktischen Kolonisierung und Hegemonie.",graphics/icons/markets/ruins_vast.png,100
,,,,,,,,
,,,,,,,,
Cold,cold,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Die niedrigen Temperaturen auf $market erfordern eine spezielle Ausrüstung für den normalen Betrieb, was die Lebenserhaltung und die Infrastruktur erschwert.",graphics/icons/markets/cold.png,25
Extreme Kälte,very_cold,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Extreme Kälte erfordert eine spezielle Ausrüstung und ein spezielles Protokoll, um Operationen auf $market sicher durchzuführen, was die Logistik, die Lebenserhaltung und die Infrastruktur erschwert.",graphics/icons/markets/cold_extreme.png,25
,,,,,,,,
Hot,hot,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Die hohen Temperaturen in $market erfordern eine spezielle Ausrüstung für den normalen Betrieb, was die Lebenserhaltung und die Infrastruktur erschwert.",graphics/icons/markets/hot.png,25
Extreme Hitze,very_hot,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Die extreme Hitze erfordert eine spezielle Ausrüstung und ein spezielles Protokoll, um auf $market sicher zu arbeiten, was die Logistik, die Lebenserhaltung und die langfristige Stabilität der Infrastruktur erheblich erschwert.",graphics/icons/markets/hot_extreme.png,25
,,,,,,,,
,,,,,,,,
Tektonische Aktivität,tectonic_activity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Die Oberfläche von $market ist instabil und anfällig für starke Beben. Alle Bauwerke müssen besonders verstärkt werden, und jede Ausgrabung ist mit einem großen Risiko verbunden.",graphics/icons/markets/tectonic.png,26
Extreme tektonische Aktivität,extreme_tectonic_activity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Die Kruste von $market wird durch extreme Beben und kataklysmischen Vulkanismus chaotisch aufgewühlt. Jegliche Operationen erfordern außergewöhnliche Sorgfalt und den Einsatz von mehrfach redundanten Warnsystemen, damit die schlimmsten Gefahren vermieden werden können. Das Bauen auf dieser Welt kann immer nur als semipermanent angesehen werden.",graphics/icons/markets/tectonic_extreme.png,26
,,,,,,,,
,,,,,,,,
Keine Atmosphäre,no_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Auf $market. gibt es keine nennenswerte Atmosphäre. Seine Oberfläche ist der harten Verwitterung des Weltraums, einem ständigen Nieselregen aus Strahlung und Mikrometeoriten ausgesetzt.",graphics/icons/markets/atmosphere_none.png,27
Dünne Atmosphäre,thin_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Die Oberfläche von $market ist von einer dünnen Atmosphäre umhüllt.,graphics/icons/markets/atmosphere_thin.png,27
Toxische Atmosphäre,toxic_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Die Atmosphäre von $market ist außerordentlich giftig und korrosiv, reibt ungeschützte Oberflächen ab und erfordert die hermetische Abdichtung aller bewohnten Räume.",graphics/icons/markets/atmosphere_toxic.png,27
Dichte Atmosphäre,dense_atmosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Die Oberfläche von $market ist in eine dichte Atmosphäre gehüllt, mit turbulenten Wirbeln an ihrem Scheitelpunkt und einer süßlichen Suppe an ihrem untersten Fußpunkt. Die Sensoren sind beeinträchtigt, und Operationen müssen mit Vorsicht vorgenommen werden.",graphics/icons/markets/atmosphere_dense.png,27
,,,,,,,,
,,,,,,,,
Mildes Klima,mild_climate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.MildClimate,"Das Klima von $market ist einladend und sanft; ein leichter Nebel begrüßt jeden Sonnenaufgang, bevor er sich in sanfte Wolken zurückzieht, die bei jedem Sonnenuntergang reizvoll leuchten.",graphics/icons/markets/climate_mild.png,28
Extremes Wetter,extreme_weather,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Heftige Stürme mit Blitzen toben über den Himmel von $market. Obwohl er aus dem Orbit eine erhabene Schönheit ist, führt dies zu rauen Bedingungen auf der Oberfläche, die den Transport und die Besiedlung höchst unangenehm machen.",graphics/icons/markets/weather_extreme.png,28
,,,,,,,,
Niedrige Schwerkraft,low_gravity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LowGravity,"Die Schwerkraft ist auf der Oberfläche von $market. außerordentlich gering, wenn auch deutlich über null g. Der Arbeitsablauf und der Betrieb von (relativ) schweren Maschinen wird durch die nicht standardisierten Verfahren erschwert, die erforderlich sind, um mit den veränderten Bedingungen von Reibung, Gewicht und Druckdynamik umzugehen.",graphics/icons/markets/gravity_low.png,24
Hohe Schwerkraft,high_gravity,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.HighGravity,"Die Schwerkraft auf der Oberfläche von $market ist erdrückend hoch. Die Menschen benötigen angetriebene Exoskelette, um sich regelmäßig fortzubewegen, und finden selbst einfache Tätigkeiten anstrengend. Der ständige Aufenthalt auf der Erde ist bestenfalls zermürbend. Bei allen Operationen besteht erhöhte Absturzgefahr und - wenn die Spezialtechnik nicht mit angemessener Paranoia ausgeführt wird - die Gefahr des strukturellen Zusammenbruchs.",graphics/icons/markets/gravity_high.png,24
,,,,,,,,
Irradiated,irradiated,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Die Oberfläche von $market ist von Strahlung verwüstet. Jedes Lebewesen muss sich in einem abgeschirmten Habitat aufhalten, um hier lange zu überleben. Ungehärtete Schaltkreise und nanoskalige Materialien oder Maschinen werden unter diesen rauen Bedingungen ebenfalls schnell versagen.",graphics/icons/markets/irradiated.png,29
,,,,,,,,
,,,,,,,,
Feindliche Biosphäre,inimical_biosphere,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.LCAttractorLow,"Die Biosphäre von $market ist für ungeschützte menschliche Wesen tödlich. Während die Bedingungen für Biowissenschaftler faszinierend sind, werden die Techniker an der Oberfläche bei der Durchführung von Routineaufgaben durch strenge Quarantäneprotokolle behindert.",graphics/icons/markets/inimical_biosphere.png,30
,,,,,,,,
Wasserbedeckte Oberfläche,water_surface,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Es handelt sich um eine Welt im Ozean, in der es keine feste Oberfläche gibt, auf der man landen, gehen oder bauen könnte. Der Einsatz wird durch die Notwendigkeit einer speziellen Ausbildung und Ausrüstung erschwert.",graphics/icons/markets/water_covered.png,31
,,,,,,,,
Schlechtes Licht,poor_light,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Das Licht von $market's primärem Licht spendet dieser Welt nur schwache Erleuchtung und Energie.,graphics/icons/markets/poor_light.png,32
Darkness,dark,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,Die Oberfläche von $market ist dunkel und schattenreich und wird von seinem Primärlicht praktisch nicht beleuchtet.,graphics/icons/markets/darkness.png,32
,,,,,,,,
Meteoriteneinschläge,meteor_impacts,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.BaseHazardCondition,"Diese Welt wird in erschreckendem Tempo von regelmäßigen Meteoritenschauern bombardiert. Jeder menschliche Bewohner, und sei es auch nur vorübergehend, muss ein wachsames Auge auf den Himmel haben. Alle dauerhaften Einrichtungen sollten am besten tief vergraben und gut befestigt werden.",graphics/icons/markets/meteor_impacts.png,33
,,,,,,,,
,,,,,,,,
